"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/xp/xpPageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 1, 9, 48
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/Users/joshuakim/Documents/yeayea/web/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"/Users/joshuakim/Documents/yeayea/web/app/hooks/useGuildConfig.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 1, 12, 67
"/Users/joshuakim/Documents/yeayea/web/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"/Users/joshuakim/Documents/yeayea/web/app/lib/db.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/joshuakim/Documents/yeayea/web/app/lib/discord.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 12, 43
"/Users/joshuakim/Documents/yeayea/web/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
"/Users/joshuakim/Documents/yeayea/web/app/providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/joshuakim/Documents/yeayea/web/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"/Users/joshuakim/Documents/yeayea/web/next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/joshuakim/Documents/yeayea/web/package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/joshuakim/Documents/yeayea/web/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/joshuakim/Documents/yeayea/web/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/web/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/web/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/web/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/web/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/web/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"/Users/joshuakim/Documents/yeayea/web/tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 8887, 9556, 68, 52, 25, 4058, 22, 5, 129, 2389, 25191
